video,video_start,n_frames,bicycle_mean,car_mean,moto_mean,bus_mean,truck_mean,vehicles_mean,matched_timestamp,matched_dB,match_gap_s
IMG_20260622_053900.mov,2026-06-22 05:39:00,29,0.21,0.1,0.28,0.0,0.0,0.59,2026-06-22 05:38:57.784,65.0,2
IMG_20260622_054500.mov,2026-06-22 05:45:00,25,0.04,0.0,0.12,0.0,0.0,0.16,2026-06-22 05:44:50.865000,74.0,9
IMG_20260622_062400.mov,2026-06-22 06:24:00,27,0.04,0.0,0.26,0.04,0.0,0.33,2026-06-22 06:23:21.762000,75.0,38
IMG_20260622_062700.mov,2026-06-22 06:27:00,25,0.0,0.96,0.2,0.0,0.0,1.16,2026-06-22 06:26:54.984000,77.0,5
IMG_20260622_070700.mov,2026-06-22 07:07:00,26,0.0,0.12,0.15,0.0,0.0,0.27,2026-06-22 07:05:39.987000,78.3,80
IMG_20260622_071600.mov,2026-06-22 07:16:00,25,0.96,0.04,0.36,0.0,0.0,1.36,2026-06-22 07:15:58.006000,76.0,1
IMG_20260622_072300.mov,2026-06-22 07:23:00,24,0.12,1.08,0.46,0.0,0.0,1.67,2026-06-22 07:23:11.594000,79.0,11
IMG_20260622_073600.mov,2026-06-22 07:36:00,30,0.0,0.17,3.37,0.0,0.0,3.53,2026-06-22 07:36:03.809000,79.0,3
TC_20260708_174500.mov,2026-07-08 17:45:00,22,0.0,2.27,3.32,0.0,0.32,5.91,2026-07-08 17:44:29.472000,68.5,30
TC_20260708_174900.mov,2026-07-08 17:49:00,22,0.0,3.73,1.59,0.0,0.05,5.36,2026-07-08 17:47:24.723000,69.5,95
TC_20260708_175300.mov,2026-07-08 17:53:00,21,0.0,3.19,1.76,0.0,0.05,5.0,2026-07-08 17:54:29.516000,71.7,89
TC_20260708_175500.mov,2026-07-08 17:55:00,19,0.0,5.58,0.42,0.16,0.26,6.42,2026-07-08 17:54:29.516000,71.7,30
TC_20260708_175800.mov,2026-07-08 17:58:00,21,0.0,6.29,0.43,0.0,0.0,6.71,2026-07-08 17:58:05.926000,65.6,5
TC_20260708_180100.mov,2026-07-08 18:01:00,19,0.05,2.42,0.84,0.05,0.11,3.47,2026-07-08 18:01:01.884000,70.5,1
TC_20260708_180500.mov,2026-07-08 18:05:00,21,0.0,0.9,0.57,0.0,0.0,1.48,2026-07-08 18:03:10.915000,76.0,109
TC_20260708_180800.mov,2026-07-08 18:08:00,24,0.0,5.54,0.25,0.0,0.0,5.79,2026-07-08 18:07:11.047000,75.6,48
TC_20260708_181000.mov,2026-07-08 18:10:00,23,0.0,1.78,0.48,0.0,0.22,2.48,2026-07-08 18:09:43.057000,75.0,16
TC_20260708_181300.mov,2026-07-08 18:13:00,26,0.0,4.54,0.19,0.0,0.04,4.77,2026-07-08 18:12:49.699000,71.5,10
TC_20260708_181600.mov,2026-07-08 18:16:00,30,0.0,2.93,0.87,0.0,0.17,3.97,2026-07-08 18:15:30.896000,72.0,29
TC_20260708_181900.mov,2026-07-08 18:19:00,25,0.0,2.16,0.36,0.84,0.12,3.48,2026-07-08 18:18:23.998000,73.0,36
TC_20260708_182200.mov,2026-07-08 18:22:00,35,0.2,2.83,0.6,0.23,0.46,4.31,2026-07-08 18:21:24.158000,63.2,35
TC_20260708_182500.mov,2026-07-08 18:25:00,28,0.0,4.5,0.18,0.07,0.0,4.75,2026-07-08 18:25:08.182000,66.3,8
TC_20260708_182800.mov,2026-07-08 18:28:00,33,0.0,4.06,0.52,0.0,0.06,4.64,2026-07-08 18:27:46.649000,69.6,13
