latitude,longitude,noise_dB,timestamp,class,site,hour,is_weekend,temperature_2m,wind_speed_10m,precipitation,dist_to_road,count_motorbikes,count_cars,count_heavy,count_ev,construction_nearby,dist_to_source_m
20.9922001,105.9442618,75.0,2026-06-10 14:33:42.770,Transportation noise,Ocean Park,14,0,30.7,6.1,0.0,0-10 m,,,,,no,
20.9931116,105.9431169,70.0,2026-06-10 21:38:50.850,Transportation noise,Ocean Park,21,0,26.8,2.3,0.0,10-30 m,,,,,no,
20.9925363,105.9434721,65.0,2026-06-11 10:53:59.687,Transportation noise,Ocean Park,10,0,28.6,2.7,0.1,10-30 m,,,,,no,
20.9916639,105.945105,70.0,2026-06-11 10:59:08.473,Karaoke / restaurant / bar,Ocean Park,10,0,28.6,2.7,0.1,0-10 m,,,,,no,
20.989493,105.9437555,65.0,2026-06-11 11:16:15.198,Silence / quiet ambient,Ocean Park,11,0,29.2,2.2,0.0,10-30 m,,,,,no,
20.9913362,105.9456826,72.9,2026-06-10 14:39:16.990,Transportation noise,Ocean Park,14,0,30.7,6.1,0.0,0-10 m,,,,,no,
20.9916065,105.9451779,74.0,2026-06-11 12:44:13.802,Transportation noise,Ocean Park,12,0,29.6,1.4,0.0,0-10 m,,,,,no,
20.9925672,105.9435401,70.0,2026-06-11 12:48:19.528,Transportation noise,Ocean Park,12,0,29.6,1.4,0.0,0-10 m,,,,,no,
20.9931244,105.9431157,78.0,2026-06-12 12:37:00.502,Transportation noise,Ocean Park,12,0,30.6,8.8,0.0,0-10 m,,,,,no,
20.9933288,105.9425193,75.0,2026-06-12 12:39:25.779,Transportation noise,Ocean Park,12,0,30.6,8.8,0.0,0-10 m,,,,,no,
20.9939294,105.9433461,75.0,2026-06-12 12:42:22.408,Transportation noise,Ocean Park,12,0,30.6,8.8,0.0,0-10 m,,,,,no,
20.9929277,105.9449917,72.3,2026-06-12 12:45:40.819,Transportation noise,Ocean Park,12,0,30.6,8.8,0.0,0-10 m,,,,,no,
20.9925355,105.9447766,73.2,2026-06-12 12:49:27.731,Transportation noise,Ocean Park,12,0,30.6,8.8,0.0,0-10 m,,,,,no,
20.9918007,105.9447047,73.5,2026-06-12 12:52:23.690,Transportation noise,Ocean Park,12,0,30.6,8.8,0.0,0-10 m,,,,,no,
20.9916257,105.9446959,74.0,2026-06-12 12:56:10.273,Transportation noise,Ocean Park,12,0,30.6,8.8,0.0,0-10 m,,,,,no,
20.9916404,105.9441847,77.4,2026-06-12 12:59:23.823,Transportation noise,Ocean Park,12,0,30.6,8.8,0.0,0-10 m,,,,,no,
20.9907658,105.9436568,75.0,2026-06-12 13:03:13.344,Transportation noise,Ocean Park,13,0,31.6,7.7,0.0,0-10 m,,,,,no,
20.9925142,105.9435933,78.0,2026-06-12 13:06:35.638,Vehicle horn / honking,Ocean Park,13,0,31.6,7.7,0.0,0-10 m,,,,,no,
20.9932777,105.9427917,77.0,2026-06-12 13:11:33.929,Motorbike (xe may),Ocean Park,13,0,31.6,7.7,0.0,0-10 m,,,,,no,
20.9932204,105.9431065,79.0,2026-06-12 13:17:44.271,Motorbike (xe may),Ocean Park,13,0,31.6,7.7,0.0,0-10 m,,,,,no,
20.9928586,105.943306,77.0,2026-06-12 13:22:26.771,Vehicle horn / honking,Ocean Park,13,0,31.6,7.7,0.0,0-10 m,,,,,no,
20.9918873,105.9443488,75.0,2026-06-12 14:36:58.549,Motorbike (xe may),Ocean Park,14,0,31.9,9.3,0.0,0-10 m,,,,,no,
20.9911327,105.9461107,71.6,2026-06-12 15:34:34.775,"Construction site (drilling, hammering...)",Ocean Park,15,0,32.0,10.8,0.0,0-10 m,,,,,yes,
