file,latitude,longitude,creation_time,duration_s,width,height,size_mb
IMG_20260622_053900.mov,,,2026-06-22T16:20:10.000000Z,28.52,1920,1080,53.8
IMG_20260622_054500.mov,,,2026-06-22T16:20:00.000000Z,24.28,1920,1080,46.2
IMG_20260622_062400.mov,,,2026-06-22T16:19:49.000000Z,26.11,1920,1080,50.2
IMG_20260622_062700.mov,,,2026-06-22T16:19:38.000000Z,24.84,1920,1080,47.4
IMG_20260622_070700.mov,,,2026-06-22T16:19:28.000000Z,25.88,1920,1080,49.4
IMG_20260622_071600.mov,,,2026-06-22T16:19:17.000000Z,24.08,1920,1080,46.2
IMG_20260622_072300.mov,,,2026-06-22T16:19:05.000000Z,23.98,1920,1080,45.9
IMG_20260622_073600.mov,,,2026-06-22T16:18:59.000000Z,29.88,1920,1080,57.1
TC_20260708_174500.mov,20.99304,105.94298,2026-07-08T10:45:37.000000Z,21.23,1280,720,19.0
TC_20260708_174900.mov,20.99335,105.94203,2026-07-08T10:49:21.000000Z,21.4,1280,720,19.2
TC_20260708_175300.mov,20.99401,105.94132,2026-07-08T10:52:44.000000Z,20.18,1280,720,18.3
TC_20260708_175500.mov,20.99477,105.94062,2026-07-08T10:55:54.000000Z,18.79,1280,720,16.9
TC_20260708_175800.mov,20.99508,105.93989,2026-07-08T10:58:50.000000Z,20.2,1280,720,18.2
TC_20260708_180100.mov,20.99531,105.93913,2026-07-08T11:01:26.000000Z,18.99,1280,720,17.1
TC_20260708_180500.mov,20.99579,105.93835,2026-07-08T11:05:39.000000Z,20.48,1280,720,18.4
TC_20260708_180800.mov,20.99605,105.93792,2026-07-08T11:08:03.000000Z,23.15,1280,720,20.9
TC_20260708_181000.mov,20.99664,105.93738,2026-07-08T11:10:41.000000Z,22.52,1280,720,20.2
TC_20260708_181300.mov,20.99616,105.93709,2026-07-08T11:13:47.000000Z,25.94,1280,720,23.4
TC_20260708_181600.mov,20.99606,105.93766,2026-07-08T11:16:15.000000Z,30.13,1280,720,27.1
TC_20260708_181900.mov,20.99551,105.93856,2026-07-08T11:19:07.000000Z,24.54,1280,720,22.1
