site_name,hour,total,measured,n_videos,moto_share,car_share,bus_share,truck_share,total_flow_per_min,moto_flow_per_min,car_flow_per_min,bus_flow_per_min,truck_flow_per_min
Hoan Kiem lake,5,0.255,1,2,0.8039,0.1569,0.0392,0.0,11.255,11.255,0.0,0.0,0.0
Hoan Kiem lake,6,1.64,1,3,0.687,0.2561,0.0061,0.0508,39.503,33.87,5.633,0.0,0.0
Hoan Kiem lake,7,3.055,1,23,0.6855,0.2864,0.0178,0.0104,49.18,40.063,9.117,0.0,0.0
Hoan Kiem lake,8,3.136,0,0,0.6805,0.2915,0.017,0.011,50.064,40.79,9.253,0.0,0.02
Hoan Kiem lake,9,3.218,0,0,0.6757,0.2964,0.0163,0.0116,50.947,41.518,9.39,0.0,0.039
Hoan Kiem lake,10,3.3,0,0,0.6712,0.301,0.0156,0.0122,51.831,42.245,9.527,0.0,0.059
Hoan Kiem lake,11,3.382,0,0,0.6669,0.3054,0.0149,0.0127,52.714,42.972,9.663,0.0,0.079
Hoan Kiem lake,12,3.463,0,0,0.6628,0.3096,0.0143,0.0132,53.598,43.699,9.8,0.0,0.099
Hoan Kiem lake,13,3.545,0,0,0.6589,0.3137,0.0137,0.0137,54.481,44.427,9.936,0.0,0.118
Hoan Kiem lake,14,3.627,0,0,0.6552,0.3175,0.0131,0.0142,55.365,45.154,10.073,0.0,0.138
Hoan Kiem lake,15,3.708,0,0,0.6516,0.3211,0.0126,0.0147,56.248,45.881,10.209,0.0,0.158
Hoan Kiem lake,16,3.79,0,0,0.6482,0.3247,0.0121,0.0151,57.132,46.609,10.346,0.0,0.177
Hoan Kiem lake,17,3.872,1,27,0.6449,0.328,0.0116,0.0155,58.015,47.336,10.482,0.0,0.197
Hoan Kiem lake,18,4.826,1,5,0.5719,0.3701,0.0066,0.0514,61.118,36.498,24.62,0.0,0.0
Hoan Kiem lake,19,4.826,0,0,0.5719,0.3701,0.0066,0.0514,61.118,36.498,24.62,0.0,0.0
Hoan Kiem lake,20,4.826,0,0,0.5719,0.3701,0.0066,0.0514,61.118,36.498,24.62,0.0,0.0
Hoan Kiem lake,21,4.826,0,0,0.5719,0.3701,0.0066,0.0514,61.118,36.498,24.62,0.0,0.0
Ocean Park,5,5.092,0,0,0.1523,0.7831,0.0246,0.04,58.805,3.638,55.167,0.0,0.0
Ocean Park,6,5.092,0,0,0.1523,0.7831,0.0246,0.04,58.805,3.638,55.167,0.0,0.0
Ocean Park,7,5.092,1,13,0.1523,0.7831,0.0246,0.04,58.805,3.638,55.167,0.0,0.0
Ocean Park,8,4.59,1,7,0.1768,0.7638,0.014,0.0454,51.119,1.616,49.503,0.0,0.0
Ocean Park,9,4.732,0,0,0.1872,0.7574,0.013,0.0424,53.865,4.024,49.842,0.0,0.0
Ocean Park,10,4.874,0,0,0.197,0.7514,0.0121,0.0395,56.612,6.431,50.18,0.0,0.0
Ocean Park,11,5.017,0,0,0.2063,0.7457,0.0112,0.0368,59.358,8.839,50.519,0.0,0.0
Ocean Park,12,5.159,0,0,0.2151,0.7404,0.0104,0.0342,62.105,11.247,50.858,0.0,0.0
Ocean Park,13,5.301,0,0,0.2233,0.7353,0.0096,0.0317,64.852,13.655,51.197,0.0,0.0
Ocean Park,14,5.443,0,0,0.2312,0.7305,0.0088,0.0294,67.598,16.063,51.536,0.0,0.0
Ocean Park,15,5.586,0,0,0.2386,0.726,0.0081,0.0272,70.345,18.47,51.874,0.0,0.0
Ocean Park,16,5.728,0,0,0.2457,0.7217,0.0075,0.0252,73.091,20.878,52.213,0.0,0.0
Ocean Park,17,5.87,1,5,0.2525,0.7175,0.0068,0.0232,75.838,23.286,52.552,0.0,0.0
Ocean Park,18,3.852,1,11,0.1201,0.8239,0.0281,0.0278,39.636,4.646,34.767,0.223,0.0
Ocean Park,19,1.734,1,9,0.0583,0.927,0.007,0.0077,23.962,2.003,21.959,0.0,0.0
Ocean Park,20,1.734,0,0,0.0583,0.927,0.007,0.0077,23.962,2.003,21.959,0.0,0.0
Ocean Park,21,1.734,0,0,0.0583,0.927,0.007,0.0077,23.962,2.003,21.959,0.0,0.0
Vinh Tuy area,5,6.987,0,0,0.3681,0.612,0.0076,0.0123,83.544,27.223,56.321,0.0,0.0
Vinh Tuy area,6,6.987,0,0,0.3681,0.612,0.0076,0.0123,83.544,27.223,56.321,0.0,0.0
Vinh Tuy area,7,6.987,0,0,0.3681,0.612,0.0076,0.0123,83.544,27.223,56.321,0.0,0.0
Vinh Tuy area,8,6.987,1,20,0.3681,0.612,0.0076,0.0123,83.544,27.223,56.321,0.0,0.0
Vinh Tuy area,9,6.961,0,0,0.3396,0.631,0.0122,0.0171,81.399,24.106,57.292,0.0,0.0
Vinh Tuy area,10,6.935,0,0,0.3109,0.6502,0.0169,0.0219,79.253,20.99,58.263,0.0,0.0
Vinh Tuy area,11,6.909,0,0,0.282,0.6696,0.0216,0.0268,77.108,17.873,59.234,0.0,0.0
Vinh Tuy area,12,6.883,0,0,0.2529,0.689,0.0264,0.0317,74.962,14.757,60.206,0.0,0.0
Vinh Tuy area,13,6.858,0,0,0.2236,0.7087,0.0312,0.0366,72.817,11.64,61.177,0.0,0.0
Vinh Tuy area,14,6.832,0,0,0.194,0.7284,0.036,0.0416,70.671,8.523,62.148,0.0,0.0
Vinh Tuy area,15,6.806,0,0,0.1642,0.7484,0.0408,0.0466,68.526,5.407,63.119,0.0,0.0
Vinh Tuy area,16,6.78,1,1,0.1342,0.7684,0.0457,0.0516,66.38,2.29,64.09,0.0,0.0
Vinh Tuy area,17,7.615,1,21,0.3009,0.6773,0.009,0.0128,80.868,24.478,55.297,0.0,1.094
Vinh Tuy area,18,7.615,0,0,0.3009,0.6773,0.009,0.0128,80.868,24.478,55.297,0.0,1.094
Vinh Tuy area,19,7.615,0,0,0.3009,0.6773,0.009,0.0128,80.868,24.478,55.297,0.0,1.094
Vinh Tuy area,20,7.615,0,0,0.3009,0.6773,0.009,0.0128,80.868,24.478,55.297,0.0,1.094
Vinh Tuy area,21,7.615,0,0,0.3009,0.6773,0.009,0.0128,80.868,24.478,55.297,0.0,1.094
