x,y,noise_dB,site,hour
105.8421707,21.0222977,63.82,Hoan Kiem lake,17
105.8425556,21.0222958,63.32,Hoan Kiem lake,17
105.8429405,21.0222939,63.99,Hoan Kiem lake,17
105.8433254,21.022292,72.11,Hoan Kiem lake,17
105.8437103,21.0222901,62.3,Hoan Kiem lake,17
105.8440952,21.0222882,62.38,Hoan Kiem lake,17
105.8444801,21.0222863,64.99,Hoan Kiem lake,17
105.844865,21.0222843,63.57,Hoan Kiem lake,17
105.8452499,21.0222824,72.68,Hoan Kiem lake,17
105.8456348,21.0222805,64.73,Hoan Kiem lake,17
105.8460197,21.0222786,67.5,Hoan Kiem lake,17
105.8464046,21.0222767,65.12,Hoan Kiem lake,17
105.8467894,21.0222748,62.68,Hoan Kiem lake,17
105.8471743,21.0222729,70.0,Hoan Kiem lake,17
105.8475592,21.0222709,70.55,Hoan Kiem lake,17
105.8479441,21.022269,71.53,Hoan Kiem lake,17
105.848329,21.0222671,70.47,Hoan Kiem lake,17
105.8487139,21.0222652,72.23,Hoan Kiem lake,17
105.8490988,21.0222633,70.85,Hoan Kiem lake,17
105.8494837,21.0222613,73.69,Hoan Kiem lake,17
105.8498686,21.0222594,66.69,Hoan Kiem lake,17
105.8502535,21.0222575,67.22,Hoan Kiem lake,17
105.8506384,21.0222556,72.83,Hoan Kiem lake,17
105.8510233,21.0222536,63.41,Hoan Kiem lake,17
105.8514082,21.0222517,62.56,Hoan Kiem lake,17
105.8517931,21.0222498,69.64,Hoan Kiem lake,17
105.852178,21.0222479,63.46,Hoan Kiem lake,17
105.8525628,21.0222459,71.12,Hoan Kiem lake,17
105.8529477,21.022244,68.47,Hoan Kiem lake,17
105.8533326,21.0222421,63.85,Hoan Kiem lake,17
105.8537175,21.0222401,68.34,Hoan Kiem lake,17
105.8541024,21.0222382,71.22,Hoan Kiem lake,17
105.8544873,21.0222363,73.21,Hoan Kiem lake,17
105.8548722,21.0222343,66.44,Hoan Kiem lake,17
105.8552571,21.0222324,68.83,Hoan Kiem lake,17
105.855642,21.0222305,66.26,Hoan Kiem lake,17
105.8560269,21.0222285,65.57,Hoan Kiem lake,17
105.8564118,21.0222266,75.47,Hoan Kiem lake,17
105.8567967,21.0222247,65.39,Hoan Kiem lake,17
105.8571816,21.0222227,69.58,Hoan Kiem lake,17
105.8575665,21.0222208,75.5,Hoan Kiem lake,17
105.8421727,21.0226591,63.58,Hoan Kiem lake,17
105.8425576,21.0226572,63.58,Hoan Kiem lake,17
105.8429425,21.0226553,63.82,Hoan Kiem lake,17
105.8433274,21.0226534,70.13,Hoan Kiem lake,17
105.8437123,21.0226515,64.16,Hoan Kiem lake,17
105.8440972,21.0226496,61.85,Hoan Kiem lake,17
105.8444821,21.0226476,62.1,Hoan Kiem lake,17
105.844867,21.0226457,63.34,Hoan Kiem lake,17
105.8452519,21.0226438,71.43,Hoan Kiem lake,17
105.8456368,21.0226419,65.0,Hoan Kiem lake,17
105.8460217,21.02264,69.74,Hoan Kiem lake,17
105.8464066,21.0226381,73.05,Hoan Kiem lake,17
105.8467915,21.0226362,75.21,Hoan Kiem lake,17
105.8471764,21.0226342,68.9,Hoan Kiem lake,17
105.8475613,21.0226323,63.67,Hoan Kiem lake,17
105.8479462,21.0226304,64.49,Hoan Kiem lake,17
105.8483311,21.0226285,65.93,Hoan Kiem lake,17
105.848716,21.0226266,73.39,Hoan Kiem lake,17
105.8491009,21.0226246,72.93,Hoan Kiem lake,17
105.8494857,21.0226227,65.3,Hoan Kiem lake,17
105.8498706,21.0226208,66.34,Hoan Kiem lake,17
105.8502555,21.0226189,64.4,Hoan Kiem lake,17
105.8506404,21.022617,70.95,Hoan Kiem lake,17
105.8510253,21.022615,64.55,Hoan Kiem lake,17
