site,longitude,latitude,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21
Hoan Kiem lake,105.8421707,21.0222977,61.32,61.32,61.32,61.32,61.32,61.32,61.32,61.32,61.32,61.32,61.32,61.32,61.32,61.32,61.32,61.32,61.32
Hoan Kiem lake,105.8425556,21.0222958,60.07,60.07,60.07,60.07,60.07,60.07,60.07,60.07,60.07,60.07,60.07,60.07,60.07,60.07,60.07,60.07,60.07
Hoan Kiem lake,105.8429405,21.0222939,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02
Hoan Kiem lake,105.8433254,21.022292,68.96,68.96,68.96,68.96,68.96,68.96,68.96,68.96,68.96,68.96,68.96,68.96,68.96,68.96,68.96,68.96,68.96
Hoan Kiem lake,105.8437103,21.0222901,61.06,61.06,61.06,61.06,61.06,61.06,61.06,61.06,61.06,61.06,61.06,61.06,61.06,61.06,61.06,61.06,61.06
Hoan Kiem lake,105.8440952,21.0222882,59.09,59.09,59.09,59.09,59.09,59.09,59.09,59.09,59.09,59.09,59.09,59.09,59.09,59.09,59.09,59.09,59.09
Hoan Kiem lake,105.8444801,21.0222863,59.74,59.74,59.74,59.74,59.74,59.74,59.74,59.74,59.74,59.74,59.74,59.74,59.74,59.74,59.74,59.74,59.74
Hoan Kiem lake,105.844865,21.0222843,62.43,62.43,62.43,62.43,62.43,62.43,62.43,62.43,62.43,62.43,62.43,62.43,62.43,62.43,62.43,62.43,62.43
Hoan Kiem lake,105.8452499,21.0222824,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48
Hoan Kiem lake,105.8456348,21.0222805,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9
Hoan Kiem lake,105.8460197,21.0222786,61.83,61.83,61.83,61.83,61.83,61.83,61.83,61.83,61.83,61.83,61.83,61.83,61.83,61.83,61.83,61.83,61.83
